song_name,name,song_id,popularity
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,4356Typ82hUiFAynbLYbPn,82
DJ Got Us Fallin' In Love (feat. Pitbull),Pitbull,4356Typ82hUiFAynbLYbPn,82
Girl on Fire,Alicia Keys,4esOae7i4rqTbAu9o5Pxco,79
Count on Me,Bruno Mars,7l1qvxWjxcKpB9PCtBuTbU,75
Marry You,Bruno Mars,22PMfvdz35fFKYnJyMn077,76
Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,89
Versace on the Floor,Bruno Mars,0kN8xEmgMW9mh7UmDYHlJP,79
Grenade,Bruno Mars,2tJulUYLDKOg9XrtVkMgcJ,78
The Lazy Song,Bruno Mars,1ExfPZEiahqhLyajhybFeS,73
Riptide,Vance Joy,3JvrhDOgAt6p7K8mDyZwRd,82
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,88
I'm Yours,Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,77
Let Me Take You Out,Bryan J,4tM7IvirymOPAk74Us27kD,42
Let Me Take You Out,Travis Porter,4tM7IvirymOPAk74Us27kD,42
Replay,Iyaz,4E5P1XyAFtrjpiIxkydly4,80
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,1Q1jlFs004vwB0DOznii3K,53
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),Yung Joc,1Q1jlFs004vwB0DOznii3K,53
Yeah! (feat. Lil Jon & Ludacris),USHER,5rb9QrpfcKFHM1EUbSIurX,85
Yeah! (feat. Lil Jon & Ludacris),Lil Jon,5rb9QrpfcKFHM1EUbSIurX,85
Yeah! (feat. Lil Jon & Ludacris),Ludacris,5rb9QrpfcKFHM1EUbSIurX,85
Down,Jay Sean,6ND2f7SUjYNpLqL0WPcNT1,0
Down,Lil Wayne,6ND2f7SUjYNpLqL0WPcNT1,0
Party In The U.S.A.,Miley Cyrus,3E7dfMvvCLUddWissuqMwr,82
Ridin' Solo,Jason Derulo,6OEolOOk9Gh9bqkdpfIOl0,66
Forever,Chris Brown,4X3FiBn7cd88I3MVtph9By,0
Just Dance,Lady Gaga,6HkjpGIOHv4y0IBAxUbE5z,0
Just Dance,Colby O'Donis,6HkjpGIOHv4y0IBAxUbE5z,0
TiK ToK,Kesha,5OMwQFBcte0aWFJFqrr5oj,0
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,79
My House,Flo Rida,6Knv6wdA0luoMUuuoYi2i1,79
"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",The Soggy Bottom Boys,5AhDb4oM6f4YmHPXW123Fg,0
